date	who	what	link	helper	counter	flag
2014-01-11	Heathrow is at capacity and monopoly regulation is therefore counter-productive: prices 	 clear the market	http://www.economist.com/news/letters/21593391-france-hotels-heathrow-iran-william-petty-films-our-country-year	1	19	LETTERS
2014-01-11	If there is any increase in capacity, consumers 	 pay for it	http://www.economist.com/news/letters/21593391-france-hotels-heathrow-iran-william-petty-films-our-country-year	1	20	LETTERS
2014-01-11	Stephen WrightProfessor of economicsBirkbeck CollegeLondon   SIR – The sprawling megalopolis of south-east England 	 have more than just one world-class hub airport	http://www.economist.com/news/letters/21593391-france-hotels-heathrow-iran-william-petty-films-our-country-year	1	21	LETTERS
2014-01-11	) In a lecture on anatomy in 1676 Petty argued that the state 	 intervene to assure better medicine, which could save 200,000 subjects a year and thus represented a sensible state expenditure	http://www.economist.com/news/letters/21593391-france-hotels-heathrow-iran-william-petty-films-our-country-year	1	22	LETTERS
2014-01-11	The second area of growth 	 be in eastern Europe, where hundreds of large firms, including manufacturers, remain in state hands	http://www.economist.com/news/briefing/21593458-advanced-countries-have-been-slow-sell-or-make-better-use-their-assets-they-are-missing	1	23	BRIEFING
2014-01-11	Mark Russell, its chief executive, favours privatisation, but says there 	 be no rush to sell holdings that are “deemed to be a good” and in which “greater efficiency can be achieved at marginal cost to the taxpayer”, he says	http://www.economist.com/news/briefing/21593458-advanced-countries-have-been-slow-sell-or-make-better-use-their-assets-they-are-missing	1	24	BRIEFING
2014-01-11	With political courage and some imaginative structuring of transactions, they 	 be able to lay to rest the widely accepted idea that their boldest moves are already behind them	http://www.economist.com/news/briefing/21593458-advanced-countries-have-been-slow-sell-or-make-better-use-their-assets-they-are-missing	1	25	BRIEFING
2014-01-11	Sheikh Hasina also benefits from having sweetened the armed forces with lucrative UN peacekeeping duties and promises of Russian weapons and Chinese submarines that 	 encourage them to remain in their barracks in the coming months	http://www.economist.com/news/asia/21593476-sheikh-hasina-plans-hang-office-after-electoral-farce-another-beating	1	26	ASIA
2014-01-11	It would become even more improbable 	 Mr Kejriwal manage to build even a modest national campaign	http://www.economist.com/news/asia/21593474-new-political-party-opens-up-indian-politics-stirring-pot	1	27	ASIA
2014-01-11	The main opposition group, the Democrat Party, 	 contemplate a name change: to the “anti-Democrats”, perhaps, or the catchier “Born to Rule	http://www.economist.com/news/asia/21593419-varying-degrees-justification-election-boycotts-are-vogue-asia-trouble	1	28	ASIA
2014-01-11	The third plenum resolved that the market 	 play a “decisive” role in the allocation of resources	http://www.economist.com/news/china/21593461-fate-chinas-economic-reforms-will-be-determined-locally-our-first-article-looks	1	29	CHINA
2014-01-11	Both main political parties are holding meetings that will set the year’s agenda—and 	 end speculation about early elections	http://www.economist.com/news/europe/21593504-politicians-fight-each-other-instead-celebrating-eu-accession-talks-serbian-shenanigans	1	30	EUROPE
2014-01-11	Dangerous even at low speed Serbian shenanigans New currency, new leader Left upset Aegean stables Reprints     “The government 	 continue the same macroeconomic policy which has been implemented so far,” said Ms Straujuma after her nomination	http://www.economist.com/news/europe/21593502-latvias-president-nominates-laimdota-straujuma-prime-minister-new-currency-new-leader	1	31	EUROPE
2014-01-11	This year 	 see the first GDP growth after six years of recession	http://www.economist.com/news/europe/21593422-greeces-feat-deficit-cutting-masks-deeper-economic-and-political-failings-aegean-stables	1	32	EUROPE
2014-01-11	In exchange, creditors 	 focus not on more austerity, but on the need to reform the economy and the state	http://www.economist.com/news/europe/21593422-greeces-feat-deficit-cutting-masks-deeper-economic-and-political-failings-aegean-stables	1	33	EUROPE
2014-01-11	” He thinks this family 	 offer a purely secular conversion ceremony (“I do not want to disturb God, She has so many other things to do”)	http://www.economist.com/news/international/21593507-competing-answers-increasingly-pressing-question-who-jew	1	34	INTERNATIONAL
2014-01-11	The flagging fortunes of Rheinmetall, in particular, 	 be restored by strong sales of the armoured transporters it produces in a joint venture with MAN, a lorry-maker	http://www.economist.com/news/business/21593464-political-pressure-and-bribery-allegations-are-unlikely-hurt-germanys-exporters-military	1	35	BUSINESS
2014-01-11	This would be less of a problem, the lobby group admits, if Europe’s fragmented defence industry were consolidated; it says the government 	 not have vetoed a proposal last year to merge EADS with BAE Systems of Britain	http://www.economist.com/news/business/21593464-political-pressure-and-bribery-allegations-are-unlikely-hurt-germanys-exporters-military	1	36	BUSINESS
2014-01-18	There 	 be less rote-learning and more critical thinking	http://www.economist.com/news/leaders/21594298-effect-todays-technology-tomorrows-jobs-will-be-immenseand-no-country-ready	1	1	LEADERS
2014-01-18	Far more money 	 be spent on pre-schooling, since the cognitive abilities and social skills that children learn in their first few years define much of their future potential	http://www.economist.com/news/leaders/21594298-effect-todays-technology-tomorrows-jobs-will-be-immenseand-no-country-ready	1	2	LEADERS
2014-01-18	Shinzo Abe, the prime minister, 	 be trying to allay their fears	http://www.economist.com/news/leaders/21594299-japan-should-be-able-defend-itself-any-other-country-honouring-war-criminals-makes	1	3	LEADERS
2014-01-18	This 	 help the Self-Defence Forces work more closely with Japan’s protector	http://www.economist.com/news/leaders/21594299-japan-should-be-able-defend-itself-any-other-country-honouring-war-criminals-makes	1	4	LEADERS
2014-01-18	The reason why his country 	 be freer to act in its own defence is because it 	http://www.economist.com/news/leaders/21594299-japan-should-be-able-defend-itself-any-other-country-honouring-war-criminals-makes	1	5	LEADERS
2014-01-18	So why 	 Mr Netanyahu bother to give in to those tiresome Palestinians—and risk being tossed out of office by an angry alliance driven by the West Bank settlers	http://www.economist.com/news/leaders/21594255-israel-neededand-still-needsa-man-ariel-sharon-bludgeon-path-peace-he-may-be-missed	1	6	LEADERS
2014-01-18	If Mr Netanyahu wants to be mourned in the same way, he 	 dwell on that	http://www.economist.com/news/leaders/21594255-israel-neededand-still-needsa-man-ariel-sharon-bludgeon-path-peace-he-may-be-missed	1	7	LEADERS
2014-01-18	Regulators were wrong to weaken it: they 	 resist the bank lobby and revert to their previous plans	http://www.economist.com/news/leaders/21594256-bank-regulators-should-not-have-weakened-rules-limit-leverage-worrying-wobble	1	8	LEADERS
2014-01-18	While amorous adventures are not a problem in Washington, they 	 not be flaunted	http://www.economist.com/news/leaders/21594257-our-wildest-fantasy-if-only-french-ran-america-la-maison-blanche	1	9	LEADERS
2014-01-18	It is also wrong to propose that my organisation and I (and Susan Linn, a professor of psychiatry at Harvard) are “radical critics” for suggesting that laws 	 reflect this evidence by shielding children from commercial ads	http://www.economist.com/news/letters/21594225-europes-populists-alcohol-germany-narendra-modi-hunting-advertising-los-angeles-quebec	1	10	LETTERS
2014-01-18	Like the first great era of industrialisation, they argue, it 	 deliver enormous benefits—but not without a period of disorienting and uncomfortable change	http://www.economist.com/news/briefing/21594264-previous-technological-innovation-has-always-delivered-more-long-run-employment-not-less	1	11	BRIEFING
2014-01-18	The machine stops Even if the long-term outlook is rosy, with the potential for greater wealth and lots of new jobs, it does not mean that policymakers 	 simply sit on their hands in the mean time	http://www.economist.com/news/briefing/21594264-previous-technological-innovation-has-always-delivered-more-long-run-employment-not-less	1	12	BRIEFING
2014-01-18	Everyone 	 be able to benefit from productivity gains—in that, Keynes was united with his successors	http://www.economist.com/news/briefing/21594264-previous-technological-innovation-has-always-delivered-more-long-run-employment-not-less	1	13	BRIEFING
2014-01-18	The self-defence groups say they are filling a void in law enforcement; Mr Osorio retorted that, if they wanted to protect their communities, they 	 join the local police instead	http://www.economist.com/news/americas/21594329-federal-troops-are-deployed-countrys-most-troubled-state-lawless-land	1	14	AMERICAS
2014-01-18	The party 	 expect even fewer seats than its lowest-ever previous toll of 114 (out of 543) in 1999	http://www.economist.com/news/asia/21594334-problems-congresss-front-man-watery-sunrise	1	15	ASIA
2014-01-18	In the past three years 140m children have been injected with extra doses of measles vaccine, so the toll 	 have fallen	http://www.economist.com/news/asia/21594335-eradication-polio-suggests-ways-tackle-even-deadlier-diseases-end-scourge	1	16	ASIA
2014-01-18	That 	 not be a problem	http://www.economist.com/news/asia/21594263-jakartas-governor-favourite-be-indonesias-next-president-though-he-not-candidate-no	1	17	ASIA
2014-01-18	The study found that postings on weibo by 100 opinion leaders fell by 10% in the two months following a warning from a senior official last August that popular microbloggers 	 be more responsible online	http://www.economist.com/news/china/21594296-after-crackdown-microblogs-sensitive-online-discussion-has-shifted-weibo-wechat	1	18	CHINA
2014-01-18	Many on the right ask why the SDP’s Mr Milanovic 	 be so protective of Mr Perkovic	http://www.economist.com/news/europe/21594339-euphoria-over-joining-european-union-has-given-way-morose-mood-more-normal-and-glummer	1	19	EUROPE
2014-01-18	The enlargement commissioner, Stefan Füle, says Turkey 	 consult the EU before changing the judiciary’s legal status	http://www.economist.com/news/europe/21594337-internal-power-struggle-further-dents-turkeys-hopes-joining-european-union-going-cold	1	20	EUROPE
2014-01-18	It is easy to say that the small countries of the western Balkans 	 one day join	http://www.economist.com/news/europe/21594337-internal-power-struggle-further-dents-turkeys-hopes-joining-european-union-going-cold	1	21	EUROPE
2014-01-18	If even they cannot see that their own best interest lies in a more democratic and European Turkey, why 	 Mr Erdogan be any different	http://www.economist.com/news/europe/21594337-internal-power-struggle-further-dents-turkeys-hopes-joining-european-union-going-cold	1	22	EUROPE
2014-01-18	Health-care on the never never They are also, regrettably, the prism through which Mr Hunt’s virtuous campaign for better care 	 be understood	http://www.economist.com/news/britain/21594247-tory-health-secretary-tonic-patients-nhs-has-bigger-problems-taking-grapes	1	23	BRITAIN
2014-01-18	Provided it can retain the confidence of its users on this, Google 	 be able to find plenty of new opportunities in both software and hardware that pass the toothbrush test and keep a bright smile on its shareholders’ faces	http://www.economist.com/news/business/21594259-string-deals-internet-giant-has-positioned-itself-become-big-inventor-and	1	24	BUSINESS
2014-01-18	However, they 	 pause for thought before mounting their high horses	http://www.economist.com/news/business/21594258-sell-assets-win-bonuses-buy-them-back-keep-bonuses-nice-work-heres-payday	1	25	BUSINESS
2014-01-18	A new report from the investment bank says rising household wealth and falling food prices 	 make 2014 a year of recovery for restaurant chains—though it still thinks a bold break-up of Darden is the key to making its shares sizzle like Red Lobster’s seafood platters	http://www.economist.com/news/business/21594332-outlets-cater-americas-squeezed-middle-are-coming-under-pressure-activist	1	26	BUSINESS
2014-01-18	That said, the importance of this work 	 not be underestimated	http://www.economist.com/news/business/21594223-it-no-longer-just-plausible-theory-good-management-boosts-productivity-measuring	1	27	BUSINESS
2014-01-18	In 1973 he warred furiously with fellow generals (tank men, where he had come up through the paratroop command) over who 	 get the credit for crossing the Suez canal and taking the war to the Egyptian side	http://www.economist.com/news/obituary/21594222-ariel-sharon-military-commander-and-prime-minister-israel-died-january-11th-aged-0	1	28	OBITUARY
2014-01-25	So even as CEOs need to keep a closer eye on standards and behaviour, they 	 localise marketing and perhaps product development	http://www.economist.com/news/leaders/21595001-life-getting-tougher-foreign-companies-those-want-stay-will-have-adjust-china	1	1	LEADERS
2014-01-25	The numerous exemptions—which include the makers of pianos and crocheted items—which allow companies to ignore it 	 be removed	http://www.economist.com/news/leaders/21595002-current-policies-are-mess-heres-how-fix-them-worse-useless	1	2	LEADERS
2014-01-25	But if America and Europe are serious about helping Syria, they 	 arm the rebels fighting the regime	http://www.economist.com/news/leaders/21595004-conference-syria-not-enough-west-should-also-arm-rebels-desperate-times	1	3	LEADERS
2014-01-25	But why 	 he	http://www.economist.com/news/leaders/21595004-conference-syria-not-enough-west-should-also-arm-rebels-desperate-times	1	4	LEADERS
2014-01-25	The best way to break the deadlock would be for the West to arm and train selected rebels, as it 	 have done almost from the start of the violence	http://www.economist.com/news/leaders/21595004-conference-syria-not-enough-west-should-also-arm-rebels-desperate-times	1	5	LEADERS
2014-01-25	Assuming that he seeks re-election in November, he 	 sail to victory	http://www.economist.com/news/leaders/21595005-california-has-won-breathing-space-under-jerry-brown-now-he-should-tackle-taxes-debt-and-red	1	6	LEADERS
2014-01-25	Out of the emergency room, into rehab Now that California’s short-term crisis is over, Mr Brown 	 tackle its long-term problems	http://www.economist.com/news/leaders/21595005-california-has-won-breathing-space-under-jerry-brown-now-he-should-tackle-taxes-debt-and-red	1	7	LEADERS
2014-01-25	The tax base 	 be broadened: top rates 	http://www.economist.com/news/leaders/21595005-california-has-won-breathing-space-under-jerry-brown-now-he-should-tackle-taxes-debt-and-red	1	8	LEADERS
2014-01-25	Some of the fresh revenues 	 be directed to measures that help the poor, such as pre-kindergarten education	http://www.economist.com/news/leaders/21595005-california-has-won-breathing-space-under-jerry-brown-now-he-should-tackle-taxes-debt-and-red	1	9	LEADERS
2014-01-25	The state 	 meet its obligations to CalSTRS in full, while finding ways to cut its long-term pension costs	http://www.economist.com/news/leaders/21595005-california-has-won-breathing-space-under-jerry-brown-now-he-should-tackle-taxes-debt-and-red	1	10	LEADERS
2014-01-25	And California 	 make it easier to start firms and create jobs	http://www.economist.com/news/leaders/21595005-california-has-won-breathing-space-under-jerry-brown-now-he-should-tackle-taxes-debt-and-red	1	11	LEADERS
2014-01-25	Spyros VretosAthens Protect patients, not patents    SIR – You argued that “protection 	 not be weakened” on pharmaceutical patents (“The new drugs war”, January 4th)	http://www.economist.com/news/letters/21594952-state-owned-assets-drug-patents-jewishness-oil-rush-railways-robin-hood	1	12	LETTERS
2014-01-25	Kevin Carleton-ReevesLondon Republicans as Merry Men    SIR – Lexington is mistaken in thinking that Robin Hood 	 be a hero for the Democrats (January 11th)	http://www.economist.com/news/letters/21594952-state-owned-assets-drug-patents-jewishness-oil-rush-railways-robin-hood	1	13	LETTERS
2014-01-25	A massive push to urbanise is also under way, which 	 produce tens of millions of richer citizens seeking retail therapy	http://www.economist.com/news/briefing/21595019-market-growing-furiously-getting-tougher-foreign-firms-doing-it-their-way	1	14	BRIEFING
2014-01-25	No longer, says the firm’s chairman, 	 the Chinese be pictured ruining fine wine by pouring Coca-Cola into it	http://www.economist.com/news/briefing/21595019-market-growing-furiously-getting-tougher-foreign-firms-doing-it-their-way	1	15	BRIEFING
2014-01-25	” (He 	 know; his Hong Kong department store has half a dozen shops in greater China, 650,000 high-spending customers and, in the new Shanghai store, private suites for “Platinum VIPs” who spend 60,000 yuan or more a year	http://www.economist.com/news/briefing/21595019-market-growing-furiously-getting-tougher-foreign-firms-doing-it-their-way	1	16	BRIEFING
2014-01-25	Mr De la Madrid says Latin American investment in Spain 	 be seen as a helping hand	http://www.economist.com/news/americas/21594985-spains-crisis-and-latin-americas-cash-prompt-gradual-rebalancing-relations-shoe	1	17	AMERICAS
2014-01-25	For China, the lesson 	 be obvious	http://www.economist.com/news/asia/21595026-intense-diplomatic-competition-between-china-and-japan-shows-tempers-rising-dangerously-horcrux	1	18	ASIA
2014-01-25	Some felt that Mr Renzi 	 have talked to another representative of Mr Berlusconi’s Forza Italia party	http://www.economist.com/news/europe/21595054-new-centre-left-leader-reaches-accord-his-biggest-opponent-thatif-it-passescould-give	1	19	EUROPE
2014-01-25	Others thought he 	 have first done a deal with the New Centre Right (NCD), the PD’s partner in Enrico Letta’s left-right coalition government	http://www.economist.com/news/europe/21595054-new-centre-left-leader-reaches-accord-his-biggest-opponent-thatif-it-passescould-give	1	20	EUROPE
2014-01-25	The prime minister 	 resign	http://www.economist.com/news/europe/21595060-prime-minister-defies-his-critics-his-grip-power-may-yet-weaken-erdogan-bay	1	21	EUROPE
2014-01-25	ENERGY and green policies 	 be ideal for common European action	http://www.economist.com/news/europe/21595018-storm-over-new-european-union-climate-change-targets-europes-energy-woes	1	22	EUROPE
2014-01-25	A proper European-level emissions-trading scheme 	 minimise the cost of reducing greenhouse gases	http://www.economist.com/news/europe/21595018-storm-over-new-european-union-climate-change-targets-europes-energy-woes	1	23	EUROPE
2014-01-25	And a successful low-carbon transition 	 reduce dependence on imported fossil fuels	http://www.economist.com/news/europe/21595018-storm-over-new-european-union-climate-change-targets-europes-energy-woes	1	24	EUROPE
2014-01-25	The current policy is known as 20-20-20: by 2020 its members 	 reduce greenhouse-gas emissions by 20% (relative to levels in 1990), with 20% of the mix produced from renewable sources and a 20% improvement in energy efficiency	http://www.economist.com/news/europe/21595018-storm-over-new-european-union-climate-change-targets-europes-energy-woes	1	25	EUROPE
2014-01-25	It seems odd that such a place 	 contain some of the worst-performing schools in England	http://www.economist.com/news/britain/21594986-bad-schools-and-low-aspirations-used-be-inner-city-problems-not-any-more-island-mentality	1	26	BRITAIN
2014-01-25	That 	 nudge schools that have been able to coast along, ignoring the neediest, to give them more attention	http://www.economist.com/news/britain/21594986-bad-schools-and-low-aspirations-used-be-inner-city-problems-not-any-more-island-mentality	1	27	BRITAIN
2014-01-25	WHATEVER is in store for Ed Miliband, the Labour Party leader’s bid to compare himself to a deceased American president 	 not turn out as badly as it did for Dan Quayle	http://www.economist.com/news/britain/21594983-ed-miliband-no-theodore-roosevelt-teddy-edward	1	28	BRITAIN
2014-01-25	If Mr Miliband really intends to close Britain’s budget deficit by the end of the next parliament, as he says he does, he 	 already be spelling out for his party what sort of austerity that would require	http://www.economist.com/news/britain/21594983-ed-miliband-no-theodore-roosevelt-teddy-edward	1	29	BRITAIN
2014-01-25	They may also go after Google, whose American ad-sales operation 	 not, they say, have handed over their details	http://www.economist.com/news/business/21594995-taxmen-are-doing-whatever-they-can-squeeze-more-online-businesses-patch-up-job	1	30	BUSINESS
2014-01-25	Above all, he 	 apply himself to making the daily lives of California’s businessfolk a little easier and more predictable	http://www.economist.com/news/business/21594967-all-silicon-valleys-vibrancy-california-can-be-lousy-place-do-business-not-so	1	31	BUSINESS
2014-01-25	The orders were that, though the rest of the Japanese army had withdrawn from the island in February 1945 when the Americans invaded, he, as an intelligence officer, 	 stay, spy on the enemy and wait for his colleagues to return	http://www.economist.com/news/obituary/21594951-hiroo-onoda-soldier-japanese-imperial-army-died-january-16th-aged-91-last-man	1	32	OBITUARY
2014-02-01	Their spirits 	 revive when their incomes do	http://www.economist.com/news/business/21595435-worlds-biggest-retailer-stumbling-its-genial-new-boss-needs-prove-he-can-push-through	1	1	BUSINESS
2014-02-01	It 	 focus on smaller stores and online operations, and return more cash to shareholders	http://www.economist.com/news/business/21595435-worlds-biggest-retailer-stumbling-its-genial-new-boss-needs-prove-he-can-push-through	1	2	BUSINESS
2014-02-01	That 	 change as more of the group’s portfolio becomes transparent, reckons Baris Oran, head of finance at Sabanci Holding	http://www.economist.com/news/business/21595463-two-huge-family-firms-koc-and-sabanci-should-weather-turkeys-crisis-too-big-fail	1	3	BUSINESS
2014-02-01	AvivaSA, its insurance joint venture with a British firm, 	 be listed this year, and Enerjisa in 2016	http://www.economist.com/news/business/21595463-two-huge-family-firms-koc-and-sabanci-should-weather-turkeys-crisis-too-big-fail	1	4	BUSINESS
2014-02-01	Opening doors Because he loved this notion of exploring without limits, he insisted that his orchestras 	 also play music that was new to them	http://www.economist.com/news/obituary/21595387-claudio-abbado-conductor-died-january-20th-aged-80-claudio-abbado	1	5	OBITUARY
