"x"
"1" "LEADERS	That  SHOULD  be a cause for celebration on both sides of the border"
"49" "ASIA	Sheikh Hasina also benefits from having sweetened the armed forces with lucrative UN peacekeeping duties and promises of Russian weapons and Chinese submarines that  SHOULD  encourage them to remain in their barracks in the coming months"
"50" "ASIA	It would become even more improbable  SHOULD  Mr Kejriwal manage to build even a modest national campaign"
"51" "ASIA	The main opposition group, the Democrat Party,  SHOULD  contemplate a name change: to the “anti-Democrats”, perhaps, or the catchier “Born to Rule"
"52" "CHINA	The third plenum resolved that the market  SHOULD  play a “decisive” role in the allocation of resources"
"53" "EUROPE	Both main political parties are holding meetings that will set the year’s agenda—and  SHOULD  end speculation about early elections"
"54" "EUROPE	Dangerous even at low speed Serbian shenanigans New currency, new leader Left upset Aegean stables Reprints     “The government  SHOULD  continue the same macroeconomic policy which has been implemented so far,” said Ms Straujuma after her nomination"
"55" "EUROPE	This year  SHOULD  see the first GDP growth after six years of recession"
"56" "EUROPE	In exchange, creditors  SHOULD  focus not on more austerity, but on the need to reform the economy and the state"
"57" "INTERNATIONAL	” He thinks this family  SHOULD  offer a purely secular conversion ceremony (“I do not want to disturb God, She has so many other things to do”)"
"58" "BUSINESS	The flagging fortunes of Rheinmetall, in particular,  SHOULD  be restored by strong sales of the armoured transporters it produces in a joint venture with MAN, a lorry-maker"
"59" "BUSINESS	This would be less of a problem, the lobby group admits, if Europe’s fragmented defence industry were consolidated; it says the government  SHOULD  not have vetoed a proposal last year to merge EADS with BAE Systems of Britain"
"60" "LEADERS	There  SHOULD  be less rote-learning and more critical thinking"
"61" "LEADERS	Far more money  SHOULD  be spent on pre-schooling, since the cognitive abilities and social skills that children learn in their first few years define much of their future potential"
"62" "LEADERS	Shinzo Abe, the prime minister,  SHOULD  be trying to allay their fears"
"63" "LEADERS	This  SHOULD  help the Self-Defence Forces work more closely with Japan’s protector"
"64" "LEADERS	The reason why his country  SHOULD  be freer to act in its own defence is because it "
"65" "LEADERS	So why  SHOULD  Mr Netanyahu bother to give in to those tiresome Palestinians—and risk being tossed out of office by an angry alliance driven by the West Bank settlers"
"66" "LEADERS	If Mr Netanyahu wants to be mourned in the same way, he  SHOULD  dwell on that"
"67" "LEADERS	Regulators were wrong to weaken it: they  SHOULD  resist the bank lobby and revert to their previous plans"
"68" "LEADERS	While amorous adventures are not a problem in Washington, they  SHOULD  not be flaunted"
"69" "LETTERS	It is also wrong to propose that my organisation and I (and Susan Linn, a professor of psychiatry at Harvard) are “radical critics” for suggesting that laws  SHOULD  reflect this evidence by shielding children from commercial ads"
"70" "BRIEFING	Like the first great era of industrialisation, they argue, it  SHOULD  deliver enormous benefits—but not without a period of disorienting and uncomfortable change"
"71" "BRIEFING	The machine stops Even if the long-term outlook is rosy, with the potential for greater wealth and lots of new jobs, it does not mean that policymakers  SHOULD  simply sit on their hands in the mean time"
"72" "BRIEFING	Everyone  SHOULD  be able to benefit from productivity gains—in that, Keynes was united with his successors"
"73" "AMERICAS	The self-defence groups say they are filling a void in law enforcement; Mr Osorio retorted that, if they wanted to protect their communities, they  SHOULD  join the local police instead"
"74" "ASIA	The party  SHOULD  expect even fewer seats than its lowest-ever previous toll of 114 (out of 543) in 1999"
"75" "ASIA	In the past three years 140m children have been injected with extra doses of measles vaccine, so the toll  SHOULD  have fallen"
"76" "ASIA	That  SHOULD  not be a problem"
"77" "CHINA	The study found that postings on weibo by 100 opinion leaders fell by 10% in the two months following a warning from a senior official last August that popular microbloggers  SHOULD  be more responsible online"
"78" "EUROPE	Many on the right ask why the SDP’s Mr Milanovic  SHOULD  be so protective of Mr Perkovic"
"79" "EUROPE	The enlargement commissioner, Stefan Füle, says Turkey  SHOULD  consult the EU before changing the judiciary’s legal status"
"80" "EUROPE	It is easy to say that the small countries of the western Balkans  SHOULD  one day join"
"81" "EUROPE	If even they cannot see that their own best interest lies in a more democratic and European Turkey, why  SHOULD  Mr Erdogan be any different"
"82" "BRITAIN	Health-care on the never never They are also, regrettably, the prism through which Mr Hunt’s virtuous campaign for better care  SHOULD  be understood"
"83" "BUSINESS	Provided it can retain the confidence of its users on this, Google  SHOULD  be able to find plenty of new opportunities in both software and hardware that pass the toothbrush test and keep a bright smile on its shareholders’ faces"
"84" "BUSINESS	However, they  SHOULD  pause for thought before mounting their high horses"
"85" "BUSINESS	A new report from the investment bank says rising household wealth and falling food prices  SHOULD  make 2014 a year of recovery for restaurant chains—though it still thinks a bold break-up of Darden is the key to making its shares sizzle like Red Lobster’s seafood platters"
"86" "BUSINESS	That said, the importance of this work  SHOULD  not be underestimated"
"87" "OBITUARY	In 1973 he warred furiously with fellow generals (tank men, where he had come up through the paratroop command) over who  SHOULD  get the credit for crossing the Suez canal and taking the war to the Egyptian side"
"88" "LEADERS	So even as CEOs need to keep a closer eye on standards and behaviour, they  SHOULD  localise marketing and perhaps product development"
"89" "LEADERS	The numerous exemptions—which include the makers of pianos and crocheted items—which allow companies to ignore it  SHOULD  be removed"
"90" "LEADERS	But if America and Europe are serious about helping Syria, they  SHOULD  arm the rebels fighting the regime"
"91" "LEADERS	But why  SHOULD  he"
"92" "LEADERS	The best way to break the deadlock would be for the West to arm and train selected rebels, as it  SHOULD  have done almost from the start of the violence"
"93" "LEADERS	Assuming that he seeks re-election in November, he  SHOULD  sail to victory"
"94" "LEADERS	Out of the emergency room, into rehab Now that California’s short-term crisis is over, Mr Brown  SHOULD  tackle its long-term problems"
"95" "LEADERS	The tax base  SHOULD  be broadened: top rates "
"96" "LEADERS	Some of the fresh revenues  SHOULD  be directed to measures that help the poor, such as pre-kindergarten education"
"97" "LEADERS	The state  SHOULD  meet its obligations to CalSTRS in full, while finding ways to cut its long-term pension costs"
"98" "LEADERS	And California  SHOULD  make it easier to start firms and create jobs"
"99" "LETTERS	Spyros VretosAthens Protect patients, not patents    SIR – You argued that “protection  SHOULD  not be weakened” on pharmaceutical patents (“The new drugs war”, January 4th)"
"100" "LETTERS	Kevin Carleton-ReevesLondon Republicans as Merry Men    SIR – Lexington is mistaken in thinking that Robin Hood  SHOULD  be a hero for the Democrats (January 11th)"
"101" "BRIEFING	A massive push to urbanise is also under way, which  SHOULD  produce tens of millions of richer citizens seeking retail therapy"
"102" "BRIEFING	No longer, says the firm’s chairman,  SHOULD  the Chinese be pictured ruining fine wine by pouring Coca-Cola into it"
"103" "BRIEFING	” (He  SHOULD  know; his Hong Kong department store has half a dozen shops in greater China, 650,000 high-spending customers and, in the new Shanghai store, private suites for “Platinum VIPs” who spend 60,000 yuan or more a year"
"104" "AMERICAS	Mr De la Madrid says Latin American investment in Spain  SHOULD  be seen as a helping hand"
"105" "ASIA	For China, the lesson  SHOULD  be obvious"
"106" "EUROPE	Some felt that Mr Renzi  SHOULD  have talked to another representative of Mr Berlusconi’s Forza Italia party"
"107" "EUROPE	Others thought he  SHOULD  have first done a deal with the New Centre Right (NCD), the PD’s partner in Enrico Letta’s left-right coalition government"
"108" "EUROPE	The prime minister  SHOULD  resign"
"109" "EUROPE	ENERGY and green policies  SHOULD  be ideal for common European action"
"110" "EUROPE	A proper European-level emissions-trading scheme  SHOULD  minimise the cost of reducing greenhouse gases"
"111" "EUROPE	And a successful low-carbon transition  SHOULD  reduce dependence on imported fossil fuels"
"112" "EUROPE	The current policy is known as 20-20-20: by 2020 its members  SHOULD  reduce greenhouse-gas emissions by 20% (relative to levels in 1990), with 20% of the mix produced from renewable sources and a 20% improvement in energy efficiency"
"113" "BRITAIN	It seems odd that such a place  SHOULD  contain some of the worst-performing schools in England"
"114" "BRITAIN	That  SHOULD  nudge schools that have been able to coast along, ignoring the neediest, to give them more attention"
"115" "BRITAIN	WHATEVER is in store for Ed Miliband, the Labour Party leader’s bid to compare himself to a deceased American president  SHOULD  not turn out as badly as it did for Dan Quayle"
"116" "BRITAIN	If Mr Miliband really intends to close Britain’s budget deficit by the end of the next parliament, as he says he does, he  SHOULD  already be spelling out for his party what sort of austerity that would require"
"117" "BUSINESS	They may also go after Google, whose American ad-sales operation  SHOULD  not, they say, have handed over their details"
"118" "BUSINESS	Above all, he  SHOULD  apply himself to making the daily lives of California’s businessfolk a little easier and more predictable"
"119" "OBITUARY	The orders were that, though the rest of the Japanese army had withdrawn from the island in February 1945 when the Americans invaded, he, as an intelligence officer,  SHOULD  stay, spy on the enemy and wait for his colleagues to return"
"120" "BUSINESS	Their spirits  SHOULD  revive when their incomes do"
"121" "BUSINESS	It  SHOULD  focus on smaller stores and online operations, and return more cash to shareholders"
"122" "BUSINESS	That  SHOULD  change as more of the group’s portfolio becomes transparent, reckons Baris Oran, head of finance at Sabanci Holding"
"123" "BUSINESS	AvivaSA, its insurance joint venture with a British firm,  SHOULD  be listed this year, and Enerjisa in 2016"
"124" "OBITUARY	Opening doors Because he loved this notion of exploring without limits, he insisted that his orchestras  SHOULD  also play music that was new to them"
"125" "LEADERS	Then the ruling Pheu Thai party  SHOULD  stop being a Thaksin fan club"
"126" "LEADERS	Instead, it  SHOULD  be led by someone other than a maladroit Shinawatra"
"127" "LEADERS	Some in Pheu Thai now want to dump Ms Yingluck: they  SHOULD  hurry up and do so"
"128" "LEADERS	Mr Miliband  SHOULD  change course before the election, rather than later"
"129" "LETTERS	The empire is gone and so  SHOULD  the mindset that went with it"
"130" "LETTERS	He  SHOULD  know that the only legitimate way to expose conspiracy is to carry government onto the liberal ground of transparency and accountability"
"131" "AMERICAS	In addition, he was an advocate for trade and an internationalist, insisting that the new republics  SHOULD  remain open to the ideas and products of the world"
"132" "AMERICAS	In 2008 it asked the ICJ to rule on a threefold claim: that the boundary  SHOULD  run southwestward, equidistantly between each country’s coast; that it "
"133" "AMERICAS	Chilean politicians suggested that as a condition for implementing the agreement Peru  SHOULD  sign the International Convention on the Law of the Sea and accept the line through Hito 1 as its land border as well (losing 350 metres of beach)"
"134" "ASIA	He also suggested that the responsibility for doing so  SHOULD  probably fall to his successor"
"135" "ASIA	Second, American and Japanese diplomats have been telling politicians on all sides that Thailand’s frail democracy and its economic prospects  SHOULD  not be held hostage by an angry minority"
"136" "ASIA	War against people-smugglers, Mr Abbott says,  SHOULD  not involve giving out “information…of use to the enemy”"
"137" "ASIA	“With cruelty over boats behind us,” Mr Menadue says, the government  SHOULD  make amends by sharply lifting Australia’s refugee intake through conventional UN channels, from 20,000 last year"
"138" "ASIA	Mr Sharif, in office since June (his third go at being prime minister),  SHOULD  be doing much more about the Islamist violence that has claimed thousands of lives over the past decade"
"139" "ASIA	The time is now Talk of Pakistani military action against the Taliban  SHOULD  be welcomed, even if it is actually designed to press them to talk"
"140" "EUROPE	The American banks which were failing, she said,  SHOULD  have consulted a Swabian housewife because she could have told them how to deal with money"
"141" "EUROPE	As the (Green) premier of the rich south-western state of Baden-Württemberg, Mr Kretschmann  SHOULD  know"
"142" "EUROPE	Conservatives say the troika was a necessary expedient that has proven its worth, but  SHOULD  be replaced over time"
"143" "EUROPE	The IMF only grudgingly accepted the ECB’s insistence that senior bondholders of Irish banks  SHOULD  be spared, increasing the burden on Irish taxpayers"
"144" "EUROPE	Its head  SHOULD  surely be the first to be lopped off"
"145" "BRITAIN	For the sake of the union, Mr Cameron  SHOULD  keep declining the invitation"
"146" "INTERNATIONAL	In this sectionTime for a ceasefire Need to know Joining the dots Reprints     What matters to patients  SHOULD  also matter to policymakers"
"147" "INTERNATIONAL	In theory, national health-care systems  SHOULD  find measuring outcomes easier"
"148" "LEADERS	That investors  SHOULD  lock in some profits after such a remarkable surge is hardly surprising (see article)"
"149" "LEADERS	It is hard to see a compelling economic reason why one unexpectedly weak report on American manufacturing, for instance,  SHOULD  push Japan’s Nikkei down by more than 4% in a day"
"150" "LEADERS	It suggests that all the figures for January, including the all-important employment figures, which were due to be released on February 7th after The Economist went to press,  SHOULD  be taken with a truckload of salt"
"151" "LEADERS	The stockmarket slide has dented consumer confidence, but investors’ flight from risk has pushed down yields on Treasury bonds, which in turn  SHOULD  lower mortgage rates"
"152" "LEADERS	Investors  SHOULD  recover their nerve as they realise that the bottom is not falling out of the world economy"
"153" "LEADERS	Rather than making excuses for keeping it, Mr Obama  SHOULD  be exposing its awfulness and leading the campaign to de-fang it"
"154" "LEADERS	CHANCES for a new beginning in Europe are rare and  SHOULD  be seized"
"155" "LEADERS	The suggestion that EU leaders  SHOULD  accept the candidate of whichever political group gets most seats in May is a recipe not just for ending up with the wrong person, but also for making the commission even more beholden to the parliament"
"156" "LEADERS	New rules on pollution say that official data, formerly held secretly,  SHOULD  be published"
"157" "LEADERS	The new rules  SHOULD  thus expose polluters to a scissor-style pressure: from above, through the central-planning system, and from below, from the media and organisations such as Mr Ma’s"
"158" "LEADERS	First, the government  SHOULD  use the time to build up institutions—not just the police, but also schools to help give youngsters an alternative career; it could provide more cash to get firms to hire people from the barrios"
"159" "LEADERS	If elected, Mr Sánchez Cerén, a former guerrilla,  SHOULD  bring the agreement into the open, explaining how the lull in violence can be used to strengthen communities vulnerable to the gangs’ reach"
"160" "LETTERS	Any discussion of California’s economy or business climate  SHOULD  start with the right facts"
"161" "ASIA	Neither  SHOULD  Mr Abe’s visit to the Yasukuni shrine be criticised by NHK, he added"
"162" "CHINA	Government jargon  SHOULD  be dropped, too"
"163" "CHINA	Women  SHOULD  wear skin-coloured stockings, not black, and definitely no fishnets"
"164" "CHINA	“But if your boss is wearing a red tie, you  SHOULD  not"
"165" "CHINA	With specific information about violations, the public  SHOULD  be better equipped to exert pressure, and local officials "
"166" "EUROPE	He feels, for example, that Germany  SHOULD  offer to dispose of Syrian chemical weapons because it has a suitable facility, even if Germans are uncomfortable with the idea"
"167" "EUROPE	Germany  SHOULD  worry more about rebalancing its relations with Asia, where for economic reasons it has recently favoured China while neglecting South-East Asia and Japan"
"168" "EUROPE	And it  SHOULD  force the EU to come up with a coherent stance toward Russia’s Vladimir Putin"
"169" "EUROPE	Three years later construction is to begin and, by 2024, the first plant  SHOULD  be producing power"
"170" "EUROPE	“Our condition is that Ukraine  SHOULD  start fixing its economy"
"171" "EUROPE	Russia’s condition is that Ukraine  SHOULD  become a vassal"
"172" "EUROPE	Still, the sight of protesters flying the EU’s blue flag with gold stars over the snow-covered barricades with a fervour unseen in the drizzle of Brussels  SHOULD  give Europeans pause for thought"
"173" "EUROPE	Right now it  SHOULD  make clear, like the Americans, that it will impose sanctions on those who use force to steal the country’s wealth, and on oligarchs who support a rotten system"
"174" "BRITAIN	He is expected to seek his party’s nomination for the 2016 London mayoral election, which, after two terms of Tory rule under Boris Johnson, Labour  SHOULD  win"
"175" "INTERNATIONAL	The biggest is the “Westphalian” view of sovereignty, says Stephen Krasner of Stanford University: that states  SHOULD  run their own affairs without foreign interference"
"176" "INTERNATIONAL	Greater choice and competition  SHOULD  eventually bring them benefits"
"177" "INTERNATIONAL	Governments  SHOULD  destroy their stockpiles and ban the sale of ivory from any source, argues Alex Rhodes of Stop Ivory, a group that is raising money for the anti-poaching plan"
"178" "LEADERS	Italy’s petulant demand that rating agencies  SHOULD  take into account its “cultural wealth”, instead of looking too closely at its dodgy government finances, sounded like Ms Fernández"
"179" "LEADERS	Stop taking the tablets Rather than making life harder for activists, America’s regulators  SHOULD  make it easier"
"180" "LEADERS	“Poison pills” that are triggered when activists buy shares  SHOULD  be banned"
"181" "LEADERS	By 2020 it  SHOULD  have overtaken Saudi Arabia as the largest pumper of oil, the more valuable fuel"
"182" "LEADERS	It  SHOULD  reduce the dependence on dirty fuels, such as coal, and extortionate suppliers, such as Russia"
"183" "LEADERS	In theory, fracking  SHOULD  make future oil shocks less severe, because American producers can respond quickly"
"184" "LEADERS	Although America’s foreign policy  SHOULD  not change, its energy policy "
"185" "LEADERS	Barack Obama  SHOULD  lift it so that newly fracked oil can be sold wherever it makes the most cash"
"186" "LEADERS	And he  SHOULD  approve the Keystone XL pipeline, which would carry oil from Canada’s tar sands to American refineries; an exhaustive official study has deemed the project environmentally sound"
"187" "LEADERS	Mr Obama  SHOULD  ignore them"
"188" "LEADERS	In the longer term that clarity  SHOULD  be an advantage for Mr Carney—providing, of course, that this time his forecasters have got their sums right"
"189" "LEADERS	But the bigger reason is simple: in this instance virtually all the blame  SHOULD  fall not on the government but on that other British bugbear, the weather"
"190" "LEADERS	Anyone tempted to build or buy a house on a flood-plain or low-lying sea front  SHOULD  think again"
"191" "LEADERS	And on this subject, at least, they  SHOULD  stop blaming Mr Cameron"
"192" "LETTERS	The increase in road deaths requires a broad range of responses; passenger empowerment  SHOULD  definitely be among them"
"193" "AMERICAS	” He thinks the government  SHOULD  not rule out rationing—especially with the spike in demand that is likely during the football World Cup later this year"
"194" "AMERICAS	CENTRAL to the sovereignty of parliament is that it, not the executive,  SHOULD  ultimately control the public purse"
"195" "AMERICAS	In Havana the bloc’s leaders signed a declaration that stated that regional integration  SHOULD  “respect…the sovereign right of each of our peoples to choose its own form of political and economic organisation”"
"196" "EUROPE	If regulation costs as much as the report claims, and if the ECB’s monetary policy is too restrictive, both  SHOULD  be changed"
"197" "EUROPE	Reunification  SHOULD  speed recovery and promote faster growth"
"198" "EUROPE	Or  SHOULD  they act softly for fear of causing a populist avalanche"
"199" "EUROPE	It has some wiggle-room, as quotas  SHOULD  take account of the “global economic interests of Switzerland”"
"200" "EUROPE	The EU  SHOULD  not treat the vote as an act of treason, but neither "
"201" "BRITAIN	Markets  SHOULD  not worry about a looming rise in interest rates, the bank explained"
"202" "BRITAIN	Yet critics have hounded Mr Carney, arguing that forward guidance has failed and  SHOULD  be scrapped"
"203" "BRITAIN	No one  SHOULD  anticipate rates near historically normal levels soon"
"204" "BRITAIN	Begrudgingly, the SNP suggested the islanders  SHOULD  be free to set their own course—and this has fuelled a fresh debate about devolution which could have great consequences for them and other local communities, however the referendum turns out"
"205" "BUSINESS	This is the sort of evidence that has convinced Mary Jo White, the chairman of America’s Securities and Exchange Commission, to argue in a recent speech that activist shareholders  SHOULD  no longer be automatically viewed negatively"
"206" "BUSINESS	Before Indonesia slips back into the habit of splashing out subsidies to promote prestigious industries, it  SHOULD  note that next door in Australia, years of official efforts to keep the carmaking industry alive have failed, as the next article explains"
"207" "BUSINESS	The school’s director, Yves Neveu, says only half-jokingly, “Someone said the archbishop  SHOULD  be jealous because I’m filling my church"
"208" "BUSINESS	Senior managers  SHOULD  explain to employees why switching to English is so important, provide them with classes and conversation groups, and offer them incentives to improve their fluency, such as foreign postings"
"209" "BUSINESS	Those who are already proficient in English  SHOULD  speak more slowly and refrain from dominating conversations"
"210" "OBITUARY	She had no idea why they  SHOULD  be otherwise"
"211" "LEADERS	The response from the West  SHOULD  be firm"
"212" "LEADERS	A presidential election is due in 2015: it  SHOULD  happen this year instead, preferably without Mr Yanukovych"
"213" "LEADERS	What  SHOULD  come next is less clear"
"214" "LEADERS	At a minimum, the diplomatic pretence that Russia is a law-abiding democracy  SHOULD  end"
"215" "LEADERS	It  SHOULD  be ejected from the G8"
"216" "LEADERS	Why  SHOULD  Japanese politicians risk infuriating their farmers when any agreement can be torn up on Capitol Hill"
"217" "LEADERS	Instead, he  SHOULD  push through the electoral reforms that he has already agreed with Mr Berlusconi, and then call a snap election"
"218" "LEADERS	There are plenty of areas—from developing a well educated workforce to warding off cyber-attacks—where business and government need each other, and  SHOULD  co-operate"
"219" "LEADERS	Net loss The first target  SHOULD  be fishing subsidies"
"220" "LEADERS	That  SHOULD  stop"
"221" "LEADERS	Second, there  SHOULD  be a global register of fishing vessels"
"222" "LEADERS	Governments  SHOULD  make it mandatory, creating a global record of vessels to help crack down on illegal high-seas fishing"
"223" "LEADERS	Third, there  SHOULD  be more marine reserves"
"224" "LEADERS	Bodies that regulate fishing in the high seas  SHOULD  copy the idea, giving some space for fish stocks and the environment to recover"
"225" "LEADERS	A World Oceans Organisation  SHOULD  be set up within the UN"
"226" "LEADERS	So in the meantime the law of the sea  SHOULD  be beefed up"
"227" "LEADERS	And the regional fishing bodies, currently dominated by fishing interests,  SHOULD  be opened up to scientists and charities"
"228" "LEADERS	This newspaper believes it is entirely up to Scots to decide whether their country  SHOULD  leave the United Kingdom"
"229" "LEADERS	If they want to be independent, they  SHOULD  go for it"
"230" "LETTERS	America is a tolerant nation, but immigration is not a right, it is a privilege, and countries  SHOULD  guard their borders"
"231" "LETTERS	Barack Obama  SHOULD  be praised for his effort"
"232" "LETTERS	This seems an odd time for you to argue that heads of government  SHOULD  haggle behind closed doors and skirt the electoral process to appoint a non-elected person to the EU’s top executive post"
"233" "LETTERS	You cited a ruling by the media regulator that a correction  SHOULD  be published for a cartoon in a newspaper"
"234" "BRIEFING	Describing Ukraine as a “client state of Russia”, on February 19th Barack Obama said that Ukraine  SHOULD  not be seen as “some cold-war chessboard in which we are in competition with Russia”"
"235" "AMERICAS	And not long after Mr Maduro declared anyone using firearms  SHOULD  act within the law, the same black-clad irregulars staged an armed raid on the headquarters of Popular Will, Mr López’s party"
"236" "ASIA	4m followers on Sina Weibo, a Twitter-like service, that the international community  SHOULD  “put pressure” on North Korea to pay greater respect to human rights"
"237" "ASIA	Support may be flagging for the protesters’ demand that Ms Yingluck’s government  SHOULD  step down simply because they do not like her and her brother—Thaksin Shinawatra, a former leader now in exile"
"238" "ASIA	Government, he said,  SHOULD  stay out of business"
"239" "EUROPE	Mr Friedrich immediately came under attack for giving away information he  SHOULD  have kept to himself"
"240" "EUROPE	The CSU, led by Horst Seehofer, the premier of Bavaria, is cross that a sordid scandal surrounding a Social Democrat  SHOULD  have led to the sacrifice of one of its own ministers, who had merely tried to do the right thing for a potential coalition partner"
"241" "EUROPE	That these comments came from a Flemish-speaking former prime minister of Belgium, who said his own deeply divided country  SHOULD  stay together, added weight to his views"
"242" "EUROPE	But he  SHOULD  not judge the likelihood of a successful application, speak on behalf of Spain, or suggest that peaceful referendums in western Europe are equivalent to the violent break-up of a Balkan country"
"243" "BRITAIN	The downturn  SHOULD  have spurred Mr Cameron not so much to retrench as rethink"
"244" "BRITAIN	He  SHOULD  begin, Geoff Lean writes in a forthcoming collection of essays (“Responsibility and Resilience: What the Environment Means to Conservatives”), by reclaiming natural political turf"
